Clinton,Trump,ClintonWin
0.46,0.51,0
0.38,0.57,0
0.33,0.63,0
0.41,0.55,0
0.5,0.45,1
0.61,0.33,1
0.47,0.51,0
0.44,0.52,0
0.26,0.69,0
0.35,0.63,0
0.54,0.41,1
0.93,0.04,1
0.53,0.42,1
0.48,0.49,0
0.55,0.39,1
0.61,0.34,1
0.61,0.35,1
0.48,0.45,1
0.54,0.39,1
0.41,0.52,0
0.38,0.57,0
0.4,0.58,0
0.48,0.47,1
0.55,0.42,1
0.29,0.65,0
0.48,0.49,0
0.55,0.4,1
0.35,0.61,0
0.34,0.6,0
0.45,0.5,0
0.47,0.44,1
0.36,0.57,0
0.38,0.58,0
0.47,0.48,0
0.47,0.45,1
0.28,0.64,0
0.34,0.6,0
0.36,0.58,0
0.45,0.49,0
0.2,0.75,0
0.48,0.4,1
0.59,0.37,1
0.32,0.62,0
0.43,0.53,0
0.47,0.48,0
0.22,0.7,0
0.42,0.52,0
0.36,0.57,0
0.48,0.46,1
0.28,0.46,0
0.62,0.33,1
0.62,0.3,1
0.28,0.59,0
0.52,0.41,1
0.54,0.38,1
0.38,0.53,0